date,ffpi_food,ffpi_cereals,ffpi_veg_oils,ffpi_dairy,ffpi_meat,ffpi_sugar,unit,base_period,source,source_url,retrieved_utc
2010-01-01,101.8,98.4,107.1,109,86,163.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-02-01,99.3,94,107.31,101.6,86.5,157.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-03-01,96.5,91.8,110.33,101.6,87.5,115.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-04-01,97.1,90.7,109.36,109.7,90.1,101.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-05-01,96.4,90.6,107.17,111.8,90.1,94.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-06-01,95.9,87.8,106.03,110.4,91.2,98.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-07-01,100,95.3,110.13,112.8,92,107.9,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-08-01,107.8,112.9,121.81,112.3,92.9,114.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-09-01,114.1,125.9,124.85,116,92.5,138.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-10-01,120.1,130.6,139.18,121.4,93.9,152.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-11-01,124.2,132.4,153.87,118.7,96.4,162.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2010-12-01,129.4,139.7,166.26,117.4,97.5,173.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-01-01,133.8,144.9,174.49,122.8,97.9,183.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-02-01,137.7,151.4,175.43,130.3,100.5,182.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-03-01,134.3,145.5,163.11,135.8,103.6,162.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-04-01,136.3,151.7,162.79,134.5,107.5,150.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-05-01,135.1,150.9,162.4,134.2,108,136.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-06-01,134.8,147.1,160.78,135.3,106.2,156,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-07-01,133,140.5,156.05,133.6,105.8,174.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-08-01,132.7,144.9,151.48,131.9,104.9,171.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-09-01,130.1,140.5,147.82,127.1,106.1,165.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-10-01,125.6,133.1,137.99,126.2,105.9,157.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-11-01,125.9,130.9,144.96,125.1,107.8,148.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2011-12-01,121.9,124.4,140.45,122,106.1,142.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-01-01,122.2,127.2,144.33,120.3,102.6,145.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-02-01,125.3,131.1,148.34,121.2,105.5,149.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-03-01,125.7,130.6,152.47,118.1,106.2,149.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-04-01,124.4,129.1,156.29,112.5,105.8,141.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-05-01,119,126.3,144.4,105.5,103.7,128.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-06-01,115.8,125.3,135.26,102.3,101.1,126.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-07-01,122,143.9,138.56,99.7,99.8,141.4,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-08-01,123.2,147.1,138.31,102,102.5,129.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-09-01,125.1,146.8,136.93,111,106.7,123.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-10-01,124,146.5,124.9,114.2,107.9,125.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-11-01,123.5,148.5,121.52,114.9,107.4,119.7,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2012-12-01,122.8,146.4,118.38,118.1,107.2,119.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2013-01-01,123.4,145.2,124.28,121,106.6,116.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2013-02-01,123.3,142.3,125.55,123.8,107.8,113,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2013-03-01,122.9,139.9,122.38,128,108.2,114.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2013-04-01,122.9,134.9,120.64,140.8,108.8,110.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
