KPI_name,segment_dimension,segment_value,mean,median,N,hypothesis
FFPI Food level,regime,2018-2019,95.33333333333333,95.0,24,H1
FFPI Food level,regime,2020-2022,122.77222222222223,126.7,36,H1
FFPI Food level,regime,2023-2025,124.54117647058823,124.65,34,H1
FFPI Food level,regime,Overall,116.40638297872339,120.80000000000001,94,H1
FFPI Food MoM %,regime,2018-2019,0.19037562396503915,0.10881392818280489,23,H1
FFPI Food MoM %,regime,2020-2022,0.8368760163762663,1.1776306563201167,36,H1
FFPI Food MoM %,regime,2023-2025,-0.13986392406265474,-0.08210180623973162,35,H1
FFPI Food MoM %,regime,Overall,0.3150099850909423,0.10521997222148194,94,H1
Veg oils level,regime,2018-2019,85.49958333333332,83.24000000000001,24,H2
Veg oils level,regime,2020-2022,150.68972222222226,155.1,36,H2
Veg oils level,regime,2023-2025,140.65588235294115,135.45,34,H2
Veg oils level,regime,Overall,130.41617021276593,130.3,94,H2
FFPI Food level,regime,2018-2019,95.33333333333333,95.0,24,H2
FFPI Food level,regime,2020-2022,122.77222222222223,126.7,36,H2
FFPI Food level,regime,2023-2025,124.54117647058823,124.65,34,H2
FFPI Food level,regime,Overall,116.40638297872339,120.80000000000001,94,H2
Veg/food level ratio,regime,2018-2019,0.8957038442496907,0.8809028226003891,24,H2
Veg/food level ratio,regime,2020-2022,1.2026821930560576,1.2163704094683205,36,H2
Veg/food level ratio,regime,2023-2025,1.1274610921451522,1.0982781904595256,34,H2
Veg/food level ratio,regime,Overall,1.0970971100526155,1.0646088343008047,94,H2
"Corr(veg oils, food)",regime,2018-2019,0.893537964193353,0.893537964193353,24,H2
"Corr(veg oils, food)",regime,2020-2022,0.9557534855532355,0.9557534855532355,36,H2
"Corr(veg oils, food)",regime,2023-2025,0.695583787882252,0.695583787882252,34,H2
"Corr(veg oils, food)",regime,Overall,0.9469442999379907,0.9469442999379907,94,H2
"Corr(BDI lead1, FFPI MoM%)",regime,2018-2019,-0.39993869867987614,-0.39993869867987614,23,H4
"Corr(BDI lead1, FFPI MoM%)",regime,2020-2022,0.3211062148279814,0.3211062148279814,36,H4
"Corr(BDI lead1, FFPI MoM%)",regime,2023-2025,0.043474655304792754,0.043474655304792754,34,H4
"Corr(BDI lead1, FFPI MoM%)",regime,Overall,0.2524996262746551,0.2524996262746551,93,H4
"Corr(BDI lead2, FFPI MoM%)",regime,2018-2019,-0.3279757144562016,-0.3279757144562016,23,H4
"Corr(BDI lead2, FFPI MoM%)",regime,2020-2022,0.23613179929669717,0.23613179929669717,36,H4
"Corr(BDI lead2, FFPI MoM%)",regime,2023-2025,0.030431362092465466,0.030431362092465466,33,H4
"Corr(BDI lead2, FFPI MoM%)",regime,Overall,0.19061945618982865,0.19061945618982865,92,H4
IPI food level,regime,2018-2019,87.75833333333334,87.7,24,H5
IPI food level,regime,2020-2022,92.40833333333333,91.25,36,H5
IPI food level,regime,2023-2025,100.01818181818182,99.9,33,H5
IPI food level,regime,Overall,93.90860215053763,93.7,93,H5
"Corr(IPI food, FFPI food)",regime,2018-2019,-0.03903932319419919,-0.03903932319419919,24,H5
"Corr(IPI food, FFPI food)",regime,2020-2022,0.8406228244549597,0.8406228244549597,36,H5
"Corr(IPI food, FFPI food)",regime,2023-2025,-0.40815654792009953,-0.40815654792009953,33,H5
"Corr(IPI food, FFPI food)",regime,Overall,0.7201541299248335,0.7201541299248335,93,H5
"Corr(RS dairy, FFPI food)",high_ffpi_flag,False,-0.5202728818791681,-0.5202728818791681,69,H6
"Corr(RS dairy, FFPI food)",high_ffpi_flag,True,-0.2464345155959834,-0.2464345155959834,24,H6
"Corr(RS dairy, FFPI food)",high_ffpi_flag,Overall,-0.46885789661481464,-0.46885789661481464,93,H6
"Corr(RS fresh, FFPI food)",high_ffpi_flag,False,-0.4491674494069541,-0.4491674494069541,69,H6
"Corr(RS fresh, FFPI food)",high_ffpi_flag,True,0.31103116026608085,0.31103116026608085,24,H6
"Corr(RS fresh, FFPI food)",high_ffpi_flag,Overall,-0.24252805251663995,-0.24252805251663995,93,H6
