Date,ffpi_food,ffpi_cereals,ffpi_veg_oils,ffpi_dairy,ffpi_meat,ffpi_sugar,bdi_price,gat_land_ocean,gat_land,gat_ocean,ffpi_Energy_Consumption ,Engergy Imported ,ffpi_USD/HKD_Rate,USD/HKD Rate,ipi_food,rs_Dairy_Products,rs_Fresh,wpm_fish
01/01/2018,96.70,95.20,98.25,106.00,95.30,87.20,"1,152.00",0.84,1.44,0.58,10 954,29 787,7.821,7.8,86.8,1957,961,36.3
02/01/2018,97.80,98.40,95.60,108.80,96.60,83.90,"1,192.00",0.89,1.62,0.57,9 787,42 998,7.83,7.8,87.1,2058,931,38.21
03/01/2018,98.80,101.80,95.36,111.30,96.60,80.90,"1,055.00",0.88,1.49,0.6,11 151,29 108,7.849,7.8,86.8,1867,925,35.25
04/01/2018,98.40,104.00,94.02,110.00,95.40,76.80,"1,341.00",0.91,1.46,0.66,11 593,23 425,7.85,7.8,86.8,1781,933,33.06
05/01/2018,98.50,105.50,92.15,111.40,94.90,76.40,"1,090.00",0.84,1.24,0.66,15 627,37 351,7.849,7.8,86.7,1992,1006,35
06/01/2018,96.80,100.80,89.33,112.30,94.70,77.40,"1,385.00",0.8,1.15,0.65,15 784,29 379,7.846,7.8,87.2,1934,995,38.48
07/01/2018,95.00,98.70,86.90,110.10,94.30,72.50,"1,747.00",0.85,1.25,0.67,16 746,23 048,7.85,7.8,87.9,1962,1010,38.98
08/01/2018,95.80,103.50,84.43,108.50,95.40,68.60,"1,579.00",0.82,1.17,0.67,16 580,32 814,7.85,7.8,87.7,2004,1037,39.91
09/01/2018,94.00,100.30,82.33,108.30,93.40,70.40,"1,540.00",0.83,1.14,0.69,15 109,33 977,7.828,7.8,87.5,2048,1059,39.3
10/01/2018,93.20,100.90,81.33,102.80,91.90,76.50,"1,490.00",1.02,1.67,0.73,13 014,28 299,7.847,7.8,87,1946,992,38.92
11/01/2018,91.90,99.60,76.59,100.00,92.10,79.90,"1,231.00",0.85,1.15,0.72,11 688,31 437,7.822,7.8,87.3,1829,928,38.58
12/01/2018,92.00,101.10,76.84,97.80,92.30,78.30,"1,271.00",0.95,1.45,0.72,11 082,31 645,7.834,7.8,87.7,1926,965,37.88
01/01/2019,93.10,101.80,80.26,100.90,91.60,79.30,668,0.93,1.47,0.69,11 032,19 009,7.847,7.8,87.7,2226,957,36.93
02/01/2019,93.80,100.70,81.78,103.80,92.50,80.30,658,0.92,1.37,0.71,9 828,27 516,7.851,7.8,88.1,1911,900,38.18
03/01/2019,93.00,97.50,78.41,105.60,94.00,78.70,689,1.15,2.12,0.71,11 505,44 969,7.849,7.8,87.8,1920,1000,37.02
04/01/2019,93.50,94.60,79.11,106.10,97.30,79.30,"1,011.00",1.05,1.75,0.73,12 560,27 214,7.847,7.8,87.7,1814,939,36.58
05/01/2019,94.20,94.40,78.50,106.60,100.20,76.70,"1,096.00",0.91,1.32,0.73,13 946,15 261,7.847,7.8,87.9,1919,1022,39.5
06/01/2019,95.40,99.20,77.46,102.90,101.20,79.90,"1,354.00",0.92,1.21,0.79,16 133,45 561,7.812,7.8,88,1964,1025,39.54
07/01/2019,95.10,97.60,78.09,101.10,102.30,79.40,"1,868.00",0.93,1.21,0.8,17 337,26 793,7.827,7.8,88.7,1985,1031,39.54
08/01/2019,93.80,92.60,82.59,100.30,101.60,76.20,"2,378.00",0.94,1.28,0.79,17 048,17 548,7.841,7.8,88.7,2010,1132,38.57
09/01/2019,93.20,91.80,83.89,99.60,100.60,73.50,"1,823.00",0.95,1.44,0.73,15 656,39 360,7.842,7.8,88.3,1922,1087,37.06
10/01/2019,95.00,96.00,84.11,100.80,100.90,77.80,"1,731.00",1.02,1.68,0.73,14 209,29 807,7.838,7.8,88.5,1942,1030,37.29
11/01/2019,98.20,95.60,93.16,102.50,105.40,79.20,"1,528.00",0.99,1.54,0.74,11 276,26 964,7.828,7.8,89.1,1852,1024,38.49
12/01/2019,100.80,97.40,101.50,103.50,106.00,83.00,"1,090.00",1.12,1.95,0.75,10 760,27 074,7.787,7.8,89.2,1846,963,37.24
01/01/2020,102.50,100.70,108.73,103.80,103.50,87.50,487,1.16,1.98,0.8,10 765,11 445,7.77,7.8,88.8,2439,1096,34.62
02/01/2020,99.60,99.60,97.55,102.80,101.00,91.40,535,1.21,2.19,0.78,9 889,27 087,7.793,7.8,88.8,1954,1205,33.99
03/01/2020,95.20,98.00,85.42,101.60,99.50,73.90,626,1.14,1.9,0.8,10 993,42 410,7.755,7.8,88.9,2091,1416,33.74
04/01/2020,92.40,99.60,81.18,95.90,96.50,63.20,635,1.14,1.87,0.81,10 535,19 416,7.751,7.8,89.4,1982,1247,32.04
05/01/2020,91.20,98.00,77.77,94.50,95.40,67.80,504,1,1.53,0.76,14 903,29 515,7.753,7.8,89.4,1926,1194,32.5
06/01/2020,93.10,97.30,86.61,98.30,94.50,74.90,"1,799.00",0.94,1.34,0.76,16 531,17 731,7.752,7.8,89.2,1905,1150,32.39
07/01/2020,93.80,97.30,93.20,101.80,91.40,76.00,"1,350.00",0.92,1.26,0.76,17 801,21 444,7.752,7.8,88.9,2390,1368,32.5
08/01/2020,95.70,99.20,98.70,102.10,91.40,81.10,"1,488.00",0.91,1.25,0.76,16 297,37 359,7.752,7.8,89.4,2058,1389,36.22
09/01/2020,97.90,104.30,104.60,102.30,91.20,79.00,"1,725.00",1,1.69,0.69,15 782,23 257,7.752,7.8,89,1818,1216,35.54
10/01/2020,101.30,112.10,106.45,104.50,91.60,84.70,"1,283.00",0.91,1.52,0.64,13 076,21 806,7.752,7.8,88.9,1778,1115,34.64
11/01/2020,105.50,114.80,121.90,105.40,93.10,87.50,"1,227.00",1.07,2.11,0.61,11 557,13 417,7.752,7.8,89.5,1707,1052,34.43
12/01/2020,108.50,116.40,131.20,108.70,94.70,87.10,"1,366.00",0.83,1.45,0.55,10 621,37 265,7.753,7.8,89.3,1900,1221,34.85
