KPI,segment_dimension,segment_A,segment_B,diff,ratio,N_A,N_B,p_value,hypothesis,abs_diff,ratio_deviation,n_min
Veg oils level,regime,2018-2019,2020-2022,-65.19013888888894,0.567388286821891,24,36,2.5886752786713807e-10,H2,65.19013888888894,0.432611713178109,24
Veg oils level,regime,2018-2019,2023-2025,-55.15629901960783,0.6078635454349023,24,34,2.5225033963498042e-21,H2,55.15629901960783,0.3921364545650977,24
FFPI Food level,regime,2018-2019,2023-2025,-29.207843137254898,0.7654764153913974,24,34,1.1214197424818076e-38,H1,29.207843137254898,0.23452358460860256,24
FFPI Food level,regime,2018-2019,2023-2025,-29.207843137254898,0.7654764153913974,24,34,1.1214197424818076e-38,H2,29.207843137254898,0.23452358460860256,24
FFPI Food level,regime,2018-2019,2020-2022,-27.438888888888897,0.7765057242409158,24,36,2.6112389800951892e-09,H1,27.438888888888897,0.2234942757590842,24
FFPI Food level,regime,2018-2019,2020-2022,-27.438888888888897,0.7765057242409158,24,36,2.6112389800951892e-09,H2,27.438888888888897,0.2234942757590842,24
IPI food level,regime,2018-2019,2023-2025,-12.259848484848476,0.8774238017330184,24,33,6.421113040906194e-47,H5,12.259848484848476,0.12257619826698163,24
Veg oils level,regime,2020-2022,2023-2025,10.03383986928111,1.0713360842179616,36,34,0.22083928332367983,H2,10.03383986928111,0.07133608421796156,34
IPI food level,regime,2020-2022,2023-2025,-7.609848484848484,0.9239153487244743,36,33,8.69866010321172e-16,H5,7.609848484848484,0.07608465127552566,33
IPI food level,regime,2018-2019,2020-2022,-4.6499999999999915,0.9496798629272253,24,36,8.453697705682769e-10,H5,4.6499999999999915,0.05032013707277472,24
FFPI Food level,regime,2020-2022,2023-2025,-1.7689542483660006,0.9857962298213574,36,34,0.6203042097949634,H1,1.7689542483660006,0.014203770178642605,34
FFPI Food level,regime,2020-2022,2023-2025,-1.7689542483660006,0.9857962298213574,36,34,0.6203042097949634,H2,1.7689542483660006,0.014203770178642605,34
"Corr(IPI food, FFPI food)",regime,2020-2022,2023-2025,1.2487793723750593,-2.0595598153175274,36,33,,H5,1.2487793723750593,3.0595598153175274,33
FFPI Food MoM %,regime,2020-2022,2023-2025,0.976739940438921,-5.983501621199842,36,35,0.1312410526840752,H1,0.976739940438921,6.983501621199842,35
"Corr(IPI food, FFPI food)",regime,2018-2019,2020-2022,-0.879662147649159,-0.04644095075518724,24,36,,H5,0.879662147649159,1.0464409507551873,24
"Corr(RS fresh, FFPI food)",high_ffpi_flag,True,False,0.7601986096730349,-0.6924614877519337,24,69,,H6,0.7601986096730349,1.6924614877519337,24
"Corr(BDI lead1, FFPI MoM%)",regime,2018-2019,2020-2022,-0.7210449135078576,-1.2455028280724052,23,36,,H4,0.7210449135078576,2.2455028280724054,23
FFPI Food MoM %,regime,2018-2019,2020-2022,-0.6465003924112271,0.22748366572790482,23,36,0.33825951115493447,H1,0.6465003924112271,0.7725163342720952,23
"Corr(BDI lead2, FFPI MoM%)",regime,2018-2019,2020-2022,-0.5641075137528988,-1.3889519134358668,23,36,,H4,0.5641075137528988,2.388951913435867,23
"Corr(BDI lead1, FFPI MoM%)",regime,2018-2019,2023-2025,-0.4434133539846689,-9.199352953484738,23,34,,H4,0.4434133539846689,10.199352953484738,23
"Corr(IPI food, FFPI food)",regime,2018-2019,2023-2025,0.36911722472590036,0.09564791596052381,24,33,,H5,0.36911722472590036,0.9043520840394762,24
"Corr(BDI lead2, FFPI MoM%)",regime,2018-2019,2023-2025,-0.35840707654866705,-10.777556175752169,23,33,,H4,0.35840707654866705,11.777556175752169,23
FFPI Food MoM %,regime,2018-2019,2023-2025,0.3302395480276939,-1.3611488826794014,23,35,0.3700220497855665,H1,0.3302395480276939,2.3611488826794016,23
Veg/food level ratio,regime,2018-2019,2020-2022,-0.3069783488063669,0.7447552224696001,24,36,3.5171752716542372e-12,H2,0.3069783488063669,0.25524477753039987,24
"Corr(BDI lead1, FFPI MoM%)",regime,2020-2022,2023-2025,0.27763155952318863,7.386055451774493,36,34,,H4,0.27763155952318863,6.386055451774493,34
"Corr(RS dairy, FFPI food)",high_ffpi_flag,True,False,0.2738383662831847,0.47366396400652133,24,69,,H6,0.2738383662831847,0.5263360359934787,24
"Corr(veg oils, food)",regime,2020-2022,2023-2025,0.2601696976709835,1.3740307094607342,36,34,,H2,0.2601696976709835,0.37403070946073425,34
Veg/food level ratio,regime,2018-2019,2023-2025,-0.23175724789546148,0.7944432410926829,24,34,1.315558485002045e-13,H2,0.23175724789546148,0.20555675890731706,24
"Corr(BDI lead2, FFPI MoM%)",regime,2020-2022,2023-2025,0.2057004372042317,7.759488339010671,36,33,,H4,0.2057004372042317,6.759488339010671,33
"Corr(veg oils, food)",regime,2018-2019,2023-2025,0.19795417631110102,1.2845871047595643,24,34,,H2,0.19795417631110102,0.2845871047595643,24
Veg/food level ratio,regime,2020-2022,2023-2025,0.07522110091090539,1.0667172476593287,36,34,0.042866220237099066,H2,0.07522110091090539,0.06671724765932874,34
"Corr(veg oils, food)",regime,2018-2019,2020-2022,-0.06221552135988251,0.9349042171435354,24,36,,H2,0.06221552135988251,0.06509578285646456,24
